96.0%	github.com/guardianwaf/guardianwaf
89.8%	github.com/guardianwaf/guardianwaf/cmd/guardianwaf
92.3%	github.com/guardianwaf/guardianwaf/internal/acme
92.7%	github.com/guardianwaf/guardianwaf/internal/ai
92.2%	github.com/guardianwaf/guardianwaf/internal/alerting
99.5%	github.com/guardianwaf/guardianwaf/internal/compliance
91.8%	github.com/guardianwaf/guardianwaf/internal/config
76.9%	github.com/guardianwaf/guardianwaf/internal/dashboard
97.3%	github.com/guardianwaf/guardianwaf/internal/docker
89.9%	github.com/guardianwaf/guardianwaf/internal/engine
95.4%	github.com/guardianwaf/guardianwaf/internal/events
92.2%	github.com/guardianwaf/guardianwaf/internal/geoip
87.6%	github.com/guardianwaf/guardianwaf/internal/layers/apisecurity
93.5%	github.com/guardianwaf/guardianwaf/internal/layers/apivalidation
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/ato
98.4%	github.com/guardianwaf/guardianwaf/internal/layers/botdetect
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/botdetect/challenge
97.9%	github.com/guardianwaf/guardianwaf/internal/layers/botdetect/fingerprint
95.8%	github.com/guardianwaf/guardianwaf/internal/layers/challenge
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/clientside
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/cors
97.4%	github.com/guardianwaf/guardianwaf/internal/layers/crs
98.6%	github.com/guardianwaf/guardianwaf/internal/layers/detection
98.5%	github.com/guardianwaf/guardianwaf/internal/layers/detection/cmdi
95.3%	github.com/guardianwaf/guardianwaf/internal/layers/detection/lfi
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/detection/nosqli
98.8%	github.com/guardianwaf/guardianwaf/internal/layers/detection/sqli
95.6%	github.com/guardianwaf/guardianwaf/internal/layers/detection/ssrf
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/detection/ssti
97.7%	github.com/guardianwaf/guardianwaf/internal/layers/detection/xss
98.9%	github.com/guardianwaf/guardianwaf/internal/layers/detection/xxe
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/dlp
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/ipacl
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/ratelimit
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/response
99.1%	github.com/guardianwaf/guardianwaf/internal/layers/rules
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/sanitizer
100.0%	github.com/guardianwaf/guardianwaf/internal/layers/threatintel
94.4%	github.com/guardianwaf/guardianwaf/internal/layers/virtualpatch
100.0%	github.com/guardianwaf/guardianwaf/internal/logging
98.8%	github.com/guardianwaf/guardianwaf/internal/mcp
100.0%	github.com/guardianwaf/guardianwaf/internal/netutil
97.8%	github.com/guardianwaf/guardianwaf/internal/proxy
100.0%	github.com/guardianwaf/guardianwaf/internal/runtime/layerregistry
93.0%	github.com/guardianwaf/guardianwaf/internal/tenant
93.3%	github.com/guardianwaf/guardianwaf/internal/tls
100.0%	github.com/guardianwaf/guardianwaf/internal/tracing
10.9%	github.com/guardianwaf/guardianwaf/scripts/attack-simulation
